Type,Name,Field/Value,Data Type
class,ActivityModel,id,String
class,ActivityModel,action,String
class,ActivityModel,entityType,String
class,ActivityModel,entityId,String
class,ActivityModel,userId,String
class,ActivityModel,userName,String?
class,ActivityModel,type,ActivityType?
class,ActivityModel,description,String?
class,ActivityModel,timestamp,DateTime
class,ActivityModel,metadata,dynamic>
class,ApprovalRequestModel,id,String
class,ApprovalRequestModel,entityType,String
class,ApprovalRequestModel,entityId,String
class,ApprovalRequestModel,requestedBy,String
class,ApprovalRequestModel,approvedBy,String?
class,ApprovalRequestModel,requestedAt,DateTime
class,ApprovalRequestModel,approvedAt,DateTime?
class,ApprovalRequestModel,status,String
class,ApprovalRequestModel,reason,String?
class,AuditLogModel,id,String
class,AuditLogModel,action,String
class,AuditLogModel,performedBy,String
class,AuditLogModel,performedAt,DateTime
class,AuditLogModel,details,dynamic>
class,AuditLogModel,props,get
enum,PermissionTypeModel,@JsonValue('createOrder'),enum value
enum,PermissionTypeModel,createOrder,enum value
enum,PermissionTypeModel,@JsonValue('approveOrder'),enum value
enum,PermissionTypeModel,approveOrder,enum value
enum,PermissionTypeModel,@JsonValue('receiveStock'),enum value
enum,PermissionTypeModel,receiveStock,enum value
enum,PermissionTypeModel,@JsonValue('adjustStock'),enum value
enum,PermissionTypeModel,adjustStock,enum value
enum,PermissionTypeModel,@JsonValue('viewReports'),enum value
enum,PermissionTypeModel,viewReports,enum value
enum,PermissionTypeModel,@JsonValue('processReturns'),enum value
enum,PermissionTypeModel,processReturns,enum value
enum,PermissionTypeModel,@JsonValue('createProduct'),enum value
enum,PermissionTypeModel,createProduct,enum value
enum,PermissionTypeModel,@JsonValue('editProduct'),enum value
enum,PermissionTypeModel,editProduct,enum value
enum,PermissionTypeModel,@JsonValue('deleteProduct'),enum value
enum,PermissionTypeModel,deleteProduct,enum value
enum,PermissionTypeModel,// Add additional permissions here...,enum value
class,RoleModel,id,String
class,RoleModel,name,String
